issuer,ticker,yf_ticker,isin,asset_class,exchange,exchange_code,country,url
Fortress Biotech,FBIO,FBIO,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/FBIO:NASDAQ
Kineta,KA,KA,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/KA:NASDAQ
QIAGEN,QGEN,QGEN,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/QGEN:NASDAQ
Dyadic International,DYAI,DYAI,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/DYAI:NASDAQ
Checkpoint Therapeutics,CKPT,CKPT,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/CKPT:NASDAQ
Jasper Therapeutics,JSPR,JSPR,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/JSPR:NASDAQ
AnaptysBio,ANAB,ANAB,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/ANAB:NASDAQ
electroCore,ECOR,ECOR,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/ECOR:NASDAQ
Eloxx Pharmaceuticals,ELOX,ELOX,,equity,nasdaq_us,RSE,US,https://www.google.com/finance/quote/ELOX:NASDAQ
