Date,Company,Category,Headline,Link
2024-09-23 08:05:00,AstraZeneca PLC,Other information disclosed according to the rules of the Exchange,Fasenra recommended for EU approval in EGPA,https://view.news.eu.nasdaq.com/view?id=b978d869cb848d531a066dadae8212526&lang=en&src=listed
2024-09-23 08:00:00,AstraZeneca PLC,Other information disclosed according to the rules of the Exchange,Final OS results reported for TROPION-Breast01,https://view.news.eu.nasdaq.com/view?id=bd529b076d9d49853cb5d396a8c882f45&lang=en&src=listed
2024-09-23 08:00:00,Wall to Wall Group AB,Changes in company's own shares,"REPURCHASES OF SHARES BY WALL TO WALL GROUP AB DURING WEEK 38, 2024",https://view.news.eu.nasdaq.com/view?id=baaa09623529de792b24dedca00fc6673&lang=en&src=listed
2024-09-23 08:00:00,Scandinavian Investment Group A/S,Changes in company's own shares,Resultat af aktietilbagekøb,https://view.news.eu.nasdaq.com/view?id=b8c44863f1017d54823945323770216d2&lang=da&src=listed
2024-09-23 07:30:00,Sampo,Changes in company's own shares,Sampo plc's share buybacks 20 September 2024,https://view.news.eu.nasdaq.com/view?id=b91791041edd6f8cc1e98119eaec24f45&lang=en&src=listed
2024-09-23 07:16:18,Jyske Bank A/S,Changes in company's own shares,Share repurchase programme,https://view.news.eu.nasdaq.com/view?id=b0cb70a84bb02347b361896216bd1baac&lang=en&src=listed
2024-09-23 07:00:00,Svenska Handelsbanken AB,Changes board/management/auditors,Ledningsförändring i Handelsbanken,https://view.news.eu.nasdaq.com/view?id=b000df503295d94068b46a7d7cf64ad6b&lang=sv&src=listed
2024-09-23 07:00:00,Svenska Handelsbanken AB,Changes board/management/auditors,Management changes at Handelsbanken,https://view.news.eu.nasdaq.com/view?id=b4f088c94230f0b9e82c8952297dcaf9d&lang=en&src=listed
2024-09-23 07:00:00,Better Collective A/S,Changes in company's own shares,Better Collective - Share buyback program,https://view.news.eu.nasdaq.com/view?id=bdf677fc7c8ee5eed65f87b22a8f5d10f&lang=en&src=listed
2024-09-22 23:00:00,Kvalitena AB,Other information disclosed according to the rules of the Exchange,Kvalitena säljer Svenskt Industriflyg AB och IFly Hangar 7 AB,https://view.news.eu.nasdaq.com/view?id=b4bdb3655e7edd743dff61c120d936740&lang=sv&src=listed
2024-09-21 14:34:49,Kaldalón hf.,Other information disclosed according to the rules of the Exchange,Kaldalón hf.: Staðfesting á skýrslu um fjárhagsleg- og sérstök skilyrði,https://view.news.eu.nasdaq.com/view?id=b47957c4dce9a70a3315460a0a0509f45&lang=is&src=listed
