published_date,company,title,link,publisher_topic,publisher
2024-09-27 08:30:00,Ovaro Kiinteistösijoitus Oyj,Negatiivinen tulosvaroitus: Ovaro Kiinteistösijoitus Oyj:n päivittää vuoden 2024 ohjeistustaan,https://view.news.eu.nasdaq.com/view?id=bbc601663268d37297cb58692930b1cc1&lang=fi&src=listed,Inside information,Nasdaq OMX Nordic
2024-09-27 08:30:00,Senzime AB,Senzime carries out a directed share issue of 86 million SEK,https://view.news.eu.nasdaq.com/view?id=b67d0ac741e37f985916ff38dcbc6f4f8&lang=en&src=listed,Inside information,Nasdaq OMX Nordic
2024-09-27 08:14:42,Brd. Klee A/S,Finanskalender 27. september 2024,https://view.news.eu.nasdaq.com/view?id=bea821e315dceb0c7eca7eab40f7a2e38&lang=da&src=listed,Financial Calendar,Nasdaq OMX Nordic
2024-09-27 08:00:00,Duroc AB,Durocs årsredovsining och hållbarhetsrapport 2023/2024,https://view.news.eu.nasdaq.com/view?id=b53a82ee4879498d95e46ede9e7fcd985&lang=sv&src=listed,Annual Financial Report,Nasdaq OMX Nordic
2024-09-27 08:00:00,Remedy Entertainment Oyj,Inside information: Remedy enters into a EUR 15 million convertible loan agreement with Tencent,https://view.news.eu.nasdaq.com/view?id=b955f605e3b05ad89ce0066c4fc831120&lang=en&src=listed,Inside information,Nasdaq OMX Nordic
2024-09-27 08:00:00,Remedy Entertainment Oyj,Sisäpiiritieto: Remedy tekee Tencentin kanssa 15 miljoonan euron vaihtovelkakirjalainasopimuksen,https://view.news.eu.nasdaq.com/view?id=bb24b8175f4434a0598501c905e0a1663&lang=fi&src=listed,Inside information,Nasdaq OMX Nordic
2024-09-27 08:00:00,Enea AB,Enea signs USD 2 Million contract for Traffic Management,https://view.news.eu.nasdaq.com/view?id=bd06459d25e3ca049989ab47247fb5eb9&lang=en&src=listed,Inside information,Nasdaq OMX Nordic
2024-09-27 08:00:00,Baltic Horizon Fund / Northern Horizon Capital,Baltic Horizon Fund requests for partial early redemption and temporary waiver under the bond terms and conditions,https://view.news.eu.nasdaq.com/view?id=bebb305a9ba905db99692a8c473219656&lang=en&src=listed,Other information disclosed according to the rules of the Exchange,Nasdaq OMX Nordic
2024-09-27 07:30:02,Consti Oyj,Consti Plc's financial reporting and Annual General Meeting in 2025,https://view.news.eu.nasdaq.com/view?id=bbeaa5fc8e718d8b03aa2225a6a314d8e&lang=en&src=listed,Financial Calendar,Nasdaq OMX Nordic
2024-09-27 07:30:00,Scandic Hotels Group AB,Konvertibler med ett nominellt belopp om 19 miljoner SEK har konverterats till aktier och därmed har samtliga utestående konvertibler konverterats,https://view.news.eu.nasdaq.com/view?id=b47c4760208ce1bc0c743872f866cf681&lang=sv&src=listed,Total number of voting rights and capital,Nasdaq OMX Nordic
2024-09-27 07:30:00,Scandic Hotels Group AB,"Convertible bonds with a nominal amount of 19 million SEK have been converted into shares, and thereby all outstanding convertible bonds have been converted",https://view.news.eu.nasdaq.com/view?id=b5ccc28a02f580d9bb2f97fe6e3e488bb&lang=en&src=listed,Total number of voting rights and capital,Nasdaq OMX Nordic
2024-09-27 07:30:00,Sampo,Sampo plc's share buybacks 26 September 2024,https://view.news.eu.nasdaq.com/view?id=b6f158c6644c3314c5157947ea1efd3b2&lang=en&src=listed,Changes in company's own shares,Nasdaq OMX Nordic
2024-09-27 07:00:00,Tornator Oyj,Tornator secured refinancing of EUR 200 million Revolving Credit Facility and extension of EUR 200 million term-loan,https://view.news.eu.nasdaq.com/view?id=b06b835cd4a92fec99496d780f7c3a69f&lang=en&src=listed,Other information disclosed according to the rules of the Exchange,Nasdaq OMX Nordic
2024-09-26 23:06:00,Doro AB,STATEMENT FROM THE BOARD OF DIRECTORS OF DORO IN RELATION TO THE PUBLIC TENDER OFFER FROM XPLORA TECHNOLOGIES,https://view.news.eu.nasdaq.com/view?id=bdef3b65fafce6ccec57c55c54f02cd0b&lang=en&src=listed,Inside information,Nasdaq OMX Nordic
